QUICK,MERGE,COUNTING
999,1336,385
1009,1343,391
1023,1344,405
992,1314,392
1002,1343,417
998,1311,391
1003,1341,405
981,1334,392
982,1338,381
1029,1342,374
980,1345,396
1009,1332,390
989,1314,395
995,1340,397
1017,1375,396
993,1404,397
980,1388,382
984,1358,387
993,1342,381
994,1325,380
998,1327,393
984,1313,403
993,1326,387
1001,1344,381
1002,1325,379
994,1325,380
1009,1344,395
991,1329,383
1012,1329,396
1002,1339,379
