QUICK,MARGE,COUNTING
1034,1335,379
994,1342,385
993,1299,380
970,1327,395
1024,1333,396
1000,1306,391
989,1345,394
1032,1341,380
996,1296,395
1033,1326,391
994,1328,396
983,1345,379
1017,1328,379
993,1326,383
999,1328,396
999,1390,381
1046,1334,385
1009,1332,387
990,1309,383
1017,1388,390
999,1351,395
1006,1313,389
978,1342,383
1022,1358,398
998,1295,381
999,1319,396
998,1325,385
989,1295,441
976,1335,393
990,1326,379
