QUICK,MERGE,COUNTING
1058,1364,1413
1043,1360,1420
1023,1343,1384
1026,1359,1405
1048,1366,1409
1022,1359,1404
1038,1361,1443
1046,1345,1412
1049,1364,1424
1047,1349,1404
1043,1332,1391
1088,1328,1404
1092,1365,1383
1025,1350,1418
1046,1346,1386
1039,1350,1405
1038,1344,1421
1051,1361,1404
1111,1326,1403
1055,1344,1419
1044,1350,1408
1064,1363,1414
1044,1360,1406
1046,1391,1386
1036,1377,1397
1040,1359,1421
991,1359,1377
1039,1372,1417
1027,1357,1398
1045,1377,1404
