QUICK,MERGE,COUNTING
1000,1334,391
984,1333,395
1006,1332,399
1007,1339,391
978,1332,394
1005,1331,389
999,1311,395
1001,1344,381
1005,1295,381
996,1395,412
986,1356,387
999,1464,398
984,1399,383
980,1452,389
1012,1490,379
984,1390,397
984,1436,405
998,1408,396
1001,1347,413
1010,1428,398
996,1360,391
1013,1343,386
999,1341,390
982,1325,391
983,1325,390
990,1313,395
974,1343,382
986,1312,390
980,1342,396
994,1328,390
